edad,grado,promedio_matematica,promedio_comunicacion,promedio_ciencias,promedio_general,num_cursos_desaprobados,porcentaje_asistencia,num_tardanzas,num_inasistencias_injustificadas,tendencia_notas,participacion_clase,entrega_tareas,repitio_grado,horas_estudio_semanal,target,genero,estructura_familiar,num_hermanos,nivel_socioeconomico,nivel_educativo_padres,trabaja_estudiante,horas_trabajo_semanal,acceso_internet_hogar,distancia_colegio_km,nivel_autoestima,nivel_ansiedad,nivel_motivacion_escolar,apoyo_familiar_percibido,eventos_estresantes_recientes,relacion_con_companeros,horas_sueño_diarias,consumo_sustancias,participa_actividades_extracurriculares,atencion_psicologica_previa
16.0,5,10.85,14.06,12.3,13.37,0,77.5,6,1,0,2,64.4,1,3.9,0,0,1,4,4,2,0,20.8,1,0.48,5.0,1,4,4,0,2,7.2,0,1,1
15.0,3,18.63,14.59,16.66,17.37,0,100.0,1,0,2,2,100.0,0,12.8,0,0,1,4,0,3,0,20.8,1,5.43,3.0,2,5,3,0,2,7.9,0,0,0
13.0,2,20.0,16.54,14.42,16.74,0,98.5,2,2,1,0,77.5,0,13.8,0,2,0,1,2,3,0,20.8,1,2.32,3.0,2,5,4,0,2,6.7,0,0,0
13.0,1,16.91,19.4,19.7,18.24,1,95.4,1,5,3,0,73.1,1,16.1,0,2,0,1,2,3,0,20.8,1,3.64,5.0,2,3,3,0,0,5.2,0,1,0
17.0,5,17.83,13.27,14.91,15.59,0,87.4,2,2,1,2,92.9,0,12.9,0,0,1,3,2,0,0,20.8,0,1.71,4.0,2,3,4,0,0,6.8,0,1,0
12.0,1,14.55,14.65,11.6,12.82,1,59.2,2,3,1,1,73.3,0,10.8,1,1,0,2,3,0,0,20.8,1,1.11,3.0,5,4,3,0,2,7.7,0,1,0
14.0,3,11.13,6.91,7.62,8.86,2,55.4,11,10,0,2,39.6,0,8.1,1,0,0,2,1,0,0,20.8,0,1.3,2.0,5,5,1,0,2,5.5,0,0,1
14.0,3,13.01,12.34,14.5,13.22,2,88.4,7,5,0,1,70.8,0,9.7,0,0,0,3,2,3,0,20.8,0,3.81,3.0,3,3,3,0,2,4.9,0,1,0
12.0,1,15.72,10.6,10.46,12.35,3,90.8,3,1,2,2,91.2,0,9.4,1,2,0,3,3,4,0,20.8,1,2.63,4.0,3,4,3,0,2,5.3,0,0,0
17.0,5,14.64,20.0,13.26,14.6,0,88.3,5,2,1,0,77.7,0,11.0,0,0,0,1,0,0,0,20.8,1,0.55,4.0,2,5,5,0,0,7.1,0,0,0
14.0,3,14.93,10.69,15.6,14.84,1,84.7,8,3,2,1,69.0,1,6.1,1,0,3,0,3,3,0,20.8,1,0.13,2.0,1,1,2,0,0,7.0,1,1,1
12.0,1,11.3,14.7,12.33,12.86,2,70.4,4,8,3,1,65.8,1,7.7,1,0,0,6,3,1,0,20.8,0,1.83,5.0,2,5,3,1,2,7.1,0,0,1
16.0,5,17.76,17.67,17.58,18.04,1,98.5,1,3,2,2,77.4,0,15.1,0,1,3,1,2,3,0,20.8,1,8.78,4.0,2,4,4,0,0,6.8,0,1,0
12.0,1,13.31,20.0,19.4,17.47,0,85.4,1,0,1,2,96.8,0,11.9,0,1,3,1,2,0,0,20.8,1,0.52,5.0,1,4,4,0,0,8.0,0,0,0
16.0,5,5.71,5.62,8.45,6.49,4,71.8,6,6,1,1,49.4,1,0.0,2,1,3,0,1,0,0,20.8,0,1.96,1.0,4,2,4,1,1,5.9,0,0,0
14.0,2,12.24,16.34,17.03,14.56,2,93.6,3,1,2,0,100.0,0,14.1,0,0,0,0,2,0,0,20.8,1,4.39,3.0,2,3,2,0,0,7.2,0,1,0
15.0,4,11.02,11.52,11.36,12.23,1,75.7,7,6,2,2,63.5,0,7.0,1,1,1,2,3,4,0,20.8,1,4.14,3.0,3,2,5,1,2,8.2,0,0,0
16.0,5,9.46,7.68,12.49,7.91,3,69.9,6,6,1,2,69.6,0,3.8,2,0,3,4,3,0,0,20.8,1,11.77,4.0,3,3,3,0,2,6.0,0,1,1
16.0,4,8.33,7.34,5.86,8.09,3,62.4,10,8,0,1,67.0,0,0.7,2,0,2,2,3,3,0,20.8,1,2.13,3.0,4,2,1,1,2,1.1,0,0,0
16.0,5,13.64,12.97,11.72,13.07,2,80.5,4,3,2,2,69.1,0,7.9,0,1,0,0,2,1,0,20.8,1,2.2,4.0,4,4,2,0,3,5.7,0,0,0
14.0,2,9.2,10.16,9.43,9.79,2,49.4,5,11,1,2,69.6,1,7.7,2,1,0,1,1,0,0,20.8,0,0.59,3.0,4,3,4,1,1,7.1,0,0,0
13.0,1,8.19,10.14,12.23,10.04,4,69.9,13,7,0,2,74.1,1,7.4,2,1,0,2,1,3,0,20.8,1,1.78,3.0,3,2,4,1,1,6.4,0,0,1
15.0,4,9.22,12.16,11.79,10.49,2,84.5,4,4,2,2,68.1,0,5.3,1,1,3,3,2,1,0,20.8,0,1.32,3.0,3,3,3,0,0,6.7,0,1,1
14.0,2,11.32,10.06,10.92,11.07,2,74.0,5,1,1,1,74.9,0,3.3,1,2,0,0,1,0,1,39.2,0,1.91,3.0,4,3,1,1,1,7.2,0,0,0
15.0,3,13.92,7.65,12.19,11.33,2,85.9,5,7,0,1,72.7,0,8.1,1,2,0,1,1,3,0,20.8,0,4.43,3.0,2,3,3,0,1,6.7,0,0,0
17.0,5,15.63,19.96,13.52,16.6,0,90.1,4,3,2,0,69.5,1,6.5,0,1,3,0,2,1,0,20.8,1,0.1,5.0,2,3,3,0,0,7.8,0,1,0
